"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 06 02:34:33 UTC 2026","Fri Mar 06 02:34:33 UTC 2026","97","","com.insiderone.qa.tests.pet.FindByStatusTest","","com.insiderone.qa.tests.pet.FindByStatusTest","findByStatusPending_returns200","findByStatusPending_returns200()",""
"passed","Fri Mar 06 02:34:27 UTC 2026","Fri Mar 06 02:34:31 UTC 2026","3201","","com.insiderone.qa.tests.pet.GetPetTest","","com.insiderone.qa.tests.pet.GetPetTest","getPetWithNegativeId_returns404OrBadRequest","getPetWithNegativeId_returns404OrBadRequest()",""
"passed","Fri Mar 06 02:34:32 UTC 2026","Fri Mar 06 02:34:33 UTC 2026","316","","com.insiderone.qa.tests.pet.FindByStatusTest","","com.insiderone.qa.tests.pet.FindByStatusTest","findByStatusAvailable_returns200WithNonEmptyList","findByStatusAvailable_returns200WithNonEmptyList()",""
"passed","Fri Mar 06 02:34:32 UTC 2026","Fri Mar 06 02:34:32 UTC 2026","165","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updatePetStatus_returns200AndStatusPersists","updatePetStatus_returns200AndStatusPersists()",""
"passed","Fri Mar 06 02:34:33 UTC 2026","Fri Mar 06 02:34:33 UTC 2026","112","","com.insiderone.qa.tests.pet.PetTechAndPerformanceTest","","com.insiderone.qa.tests.pet.PetTechAndPerformanceTest","getPet_ResponseTimeCheck_MustBeUnder3Seconds","getPet_ResponseTimeCheck_MustBeUnder3Seconds()",""
"passed","Fri Mar 06 02:34:33 UTC 2026","Fri Mar 06 02:34:34 UTC 2026","109","","com.insiderone.qa.tests.pet.PetTechAndPerformanceTest","","com.insiderone.qa.tests.pet.PetTechAndPerformanceTest","getPet_CheckRequiredHeadersInResponse","getPet_CheckRequiredHeadersInResponse()",""
"passed","Fri Mar 06 02:34:34 UTC 2026","Fri Mar 06 02:34:34 UTC 2026","40","","com.insiderone.qa.tests.pet.CreatePetTest","","com.insiderone.qa.tests.pet.CreatePetTest","createPetWithEmptyBody_returns405OrBadRequest","createPetWithEmptyBody_returns405OrBadRequest()",""
"passed","Fri Mar 06 02:34:33 UTC 2026","Fri Mar 06 02:34:33 UTC 2026","64","","com.insiderone.qa.tests.pet.DeletePetTest","","com.insiderone.qa.tests.pet.DeletePetTest","deleteExistingPet_returns200","deleteExistingPet_returns200()",""
"passed","Fri Mar 06 02:34:32 UTC 2026","Fri Mar 06 02:34:32 UTC 2026","163","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updateExistingPet_UsingFormData_Returns200AndPersists","updateExistingPet_UsingFormData_Returns200AndPersists()",""
"passed","Fri Mar 06 02:34:33 UTC 2026","Fri Mar 06 02:34:33 UTC 2026","95","","com.insiderone.qa.tests.pet.DeletePetTest","","com.insiderone.qa.tests.pet.DeletePetTest","deleteNonExistentPet_returns404","deleteNonExistentPet_returns404()",""
"passed","Fri Mar 06 02:34:34 UTC 2026","Fri Mar 06 02:34:34 UTC 2026","55","","com.insiderone.qa.tests.pet.CreatePetTest","","com.insiderone.qa.tests.pet.CreatePetTest","createPetWithMinimalFields_returns200","createPetWithMinimalFields_returns200()",""
"passed","Fri Mar 06 02:34:31 UTC 2026","Fri Mar 06 02:34:31 UTC 2026","167","","com.insiderone.qa.tests.pet.GetPetTest","","com.insiderone.qa.tests.pet.GetPetTest","getPetWithNonExistentId_returns404","getPetWithNonExistentId_returns404()",""
"passed","Fri Mar 06 02:34:31 UTC 2026","Fri Mar 06 02:34:31 UTC 2026","85","","com.insiderone.qa.tests.pet.PetSecurityTest","","com.insiderone.qa.tests.pet.PetSecurityTest","createPet_SqlInjectionPayloadInName_ShouldNotBreakDatabase","createPet_SqlInjectionPayloadInName_ShouldNotBreakDatabase(String) [1] ' OR '1'='1",""
"passed","Fri Mar 06 02:34:33 UTC 2026","Fri Mar 06 02:34:33 UTC 2026","132","","com.insiderone.qa.tests.pet.FindByStatusTest","","com.insiderone.qa.tests.pet.FindByStatusTest","findByStatusSold_returns200","findByStatusSold_returns200()",""
"passed","Fri Mar 06 02:34:32 UTC 2026","Fri Mar 06 02:34:32 UTC 2026","147","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updatePetName_returns200AndNamePersists","updatePetName_returns200AndNamePersists()",""
"passed","Fri Mar 06 02:34:32 UTC 2026","Fri Mar 06 02:34:32 UTC 2026","131","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updatePetWithDuplicateTags_CheckDataConsistency","updatePetWithDuplicateTags_CheckDataConsistency()",""
