"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 06 03:47:09 UTC 2026","Fri Mar 06 03:47:10 UTC 2026","336","","com.insiderone.qa.tests.pet.PetTechAndPerformanceTest","","com.insiderone.qa.tests.pet.PetTechAndPerformanceTest","getPet_ResponseTimeCheck_MustBeUnder3Seconds","getPet_ResponseTimeCheck_MustBeUnder3Seconds()",""
"passed","Fri Mar 06 03:47:06 UTC 2026","Fri Mar 06 03:47:06 UTC 2026","433","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updatePetName_returns200AndNamePersists","updatePetName_returns200AndNamePersists()",""
"passed","Fri Mar 06 03:47:04 UTC 2026","Fri Mar 06 03:47:04 UTC 2026","229","","com.insiderone.qa.tests.pet.PetSecurityTest","","com.insiderone.qa.tests.pet.PetSecurityTest","createPet_SqlInjectionPayloadInName_ShouldNotBreakDatabase","createPet_SqlInjectionPayloadInName_ShouldNotBreakDatabase(String) [1] ' OR '1'='1",""
"passed","Fri Mar 06 03:47:02 UTC 2026","Fri Mar 06 03:47:02 UTC 2026","367","","com.insiderone.qa.tests.pet.GetPetTest","","com.insiderone.qa.tests.pet.GetPetTest","getPetWithNonExistentId_returns404","getPetWithNonExistentId_returns404()",""
"passed","Fri Mar 06 03:47:10 UTC 2026","Fri Mar 06 03:47:10 UTC 2026","200","","com.insiderone.qa.tests.pet.CreatePetTest","","com.insiderone.qa.tests.pet.CreatePetTest","createPetWithVeryLargeIdValue_LongTypeCheck","createPetWithVeryLargeIdValue_LongTypeCheck()",""
"passed","Fri Mar 06 03:47:08 UTC 2026","Fri Mar 06 03:47:09 UTC 2026","322","","com.insiderone.qa.tests.pet.DeletePetTest","","com.insiderone.qa.tests.pet.DeletePetTest","deletedPet_isNoLongerRetrievable","deletedPet_isNoLongerRetrievable()",""
"passed","Fri Mar 06 03:47:05 UTC 2026","Fri Mar 06 03:47:05 UTC 2026","470","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updateExistingPet_UsingFormData_Returns200AndPersists","updateExistingPet_UsingFormData_Returns200AndPersists()",""
"passed","Fri Mar 06 03:47:07 UTC 2026","Fri Mar 06 03:47:08 UTC 2026","395","","com.insiderone.qa.tests.pet.FindByStatusTest","","com.insiderone.qa.tests.pet.FindByStatusTest","findByStatusSold_returns200","findByStatusSold_returns200()",""
"passed","Fri Mar 06 03:47:03 UTC 2026","Fri Mar 06 03:47:03 UTC 2026","375","","com.insiderone.qa.tests.pet.PetSecurityTest","","com.insiderone.qa.tests.pet.PetSecurityTest","createPet_XssPayloadInName_ShouldBeHandled","createPet_XssPayloadInName_ShouldBeHandled(String) [1] <script>alert('XSS')</script>",""
"passed","Fri Mar 06 03:47:09 UTC 2026","Fri Mar 06 03:47:09 UTC 2026","212","","com.insiderone.qa.tests.pet.DeletePetTest","","com.insiderone.qa.tests.pet.DeletePetTest","deleteExistingPet_returns200","deleteExistingPet_returns200()",""
"passed","Fri Mar 06 03:47:11 UTC 2026","Fri Mar 06 03:47:11 UTC 2026","223","","com.insiderone.qa.tests.pet.CreatePetTest","","com.insiderone.qa.tests.pet.CreatePetTest","createPetWithAllFields_returns200","createPetWithAllFields_returns200()",""
"passed","Fri Mar 06 03:47:06 UTC 2026","Fri Mar 06 03:47:07 UTC 2026","444","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updatePetWithDuplicateTags_CheckDataConsistency","updatePetWithDuplicateTags_CheckDataConsistency()",""
"passed","Fri Mar 06 03:46:59 UTC 2026","Fri Mar 06 03:47:02 UTC 2026","3157","","com.insiderone.qa.tests.pet.GetPetTest","","com.insiderone.qa.tests.pet.GetPetTest","getPetWithNegativeId_returns404OrBadRequest","getPetWithNegativeId_returns404OrBadRequest()",""
"passed","Fri Mar 06 03:47:11 UTC 2026","Fri Mar 06 03:47:11 UTC 2026","207","","com.insiderone.qa.tests.pet.CreatePetTest","","com.insiderone.qa.tests.pet.CreatePetTest","createPetWithMinimalFields_returns200","createPetWithMinimalFields_returns200()",""
"passed","Fri Mar 06 03:47:08 UTC 2026","Fri Mar 06 03:47:08 UTC 2026","360","","com.insiderone.qa.tests.pet.FindByStatusTest","","com.insiderone.qa.tests.pet.FindByStatusTest","findByStatusPending_returns200","findByStatusPending_returns200()",""
"passed","Fri Mar 06 03:47:04 UTC 2026","Fri Mar 06 03:47:04 UTC 2026","349","","com.insiderone.qa.tests.pet.PetSecurityTest","","com.insiderone.qa.tests.pet.PetSecurityTest","createPet_XssPayloadInName_ShouldBeHandled","createPet_XssPayloadInName_ShouldBeHandled(String) [3] javascript:alert(1)",""
"passed","Fri Mar 06 03:47:10 UTC 2026","Fri Mar 06 03:47:10 UTC 2026","215","","com.insiderone.qa.tests.pet.CreatePetTest","","com.insiderone.qa.tests.pet.CreatePetTest","createPetWithMaximumNameLength_CheckPersistence","createPetWithMaximumNameLength_CheckPersistence()",""
"passed","Fri Mar 06 03:47:03 UTC 2026","Fri Mar 06 03:47:04 UTC 2026","356","","com.insiderone.qa.tests.pet.PetSecurityTest","","com.insiderone.qa.tests.pet.PetSecurityTest","createPet_XssPayloadInName_ShouldBeHandled","createPet_XssPayloadInName_ShouldBeHandled(String) [2] <img src=x onerror=alert(1)>",""
"passed","Fri Mar 06 03:47:08 UTC 2026","Fri Mar 06 03:47:08 UTC 2026","324","","com.insiderone.qa.tests.pet.FindByStatusTest","","com.insiderone.qa.tests.pet.FindByStatusTest","findByInvalidStatus_doesNotReturn500","findByInvalidStatus_doesNotReturn500()",""
"passed","Fri Mar 06 03:47:10 UTC 2026","Fri Mar 06 03:47:11 UTC 2026","218","","com.insiderone.qa.tests.pet.CreatePetTest","","com.insiderone.qa.tests.pet.CreatePetTest","createPetWithSpecialCharactersAndJapanese_EncodingCheck","createPetWithSpecialCharactersAndJapanese_EncodingCheck()",""
"passed","Fri Mar 06 03:47:07 UTC 2026","Fri Mar 06 03:47:07 UTC 2026","549","","com.insiderone.qa.tests.pet.FindByStatusTest","","com.insiderone.qa.tests.pet.FindByStatusTest","findByStatusAvailable_returns200WithNonEmptyList","findByStatusAvailable_returns200WithNonEmptyList()",""
"passed","Fri Mar 06 03:47:04 UTC 2026","Fri Mar 06 03:47:05 UTC 2026","223","","com.insiderone.qa.tests.pet.PetSecurityTest","","com.insiderone.qa.tests.pet.PetSecurityTest","createPet_SqlInjectionPayloadInName_ShouldNotBreakDatabase","createPet_SqlInjectionPayloadInName_ShouldNotBreakDatabase(String) [3] 1; SELECT * FROM users",""
"passed","Fri Mar 06 03:47:09 UTC 2026","Fri Mar 06 03:47:09 UTC 2026","320","","com.insiderone.qa.tests.pet.DeletePetTest","","com.insiderone.qa.tests.pet.DeletePetTest","deleteNonExistentPet_returns404","deleteNonExistentPet_returns404()",""
"passed","Fri Mar 06 03:47:02 UTC 2026","Fri Mar 06 03:47:03 UTC 2026","378","","com.insiderone.qa.tests.pet.GetPetTest","","com.insiderone.qa.tests.pet.GetPetTest","getPetByValidId_returns200WithCorrectData","getPetByValidId_returns200WithCorrectData()",""
"passed","Fri Mar 06 03:47:05 UTC 2026","Fri Mar 06 03:47:06 UTC 2026","435","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updatePetStatus_returns200AndStatusPersists","updatePetStatus_returns200AndStatusPersists()",""
"passed","Fri Mar 06 03:47:05 UTC 2026","Fri Mar 06 03:47:05 UTC 2026","346","","com.insiderone.qa.tests.pet.UpdatePetTest","","com.insiderone.qa.tests.pet.UpdatePetTest","updatePetWithNonExistentId_UsingFormData_Returns404","updatePetWithNonExistentId_UsingFormData_Returns404()",""
"passed","Fri Mar 06 03:47:10 UTC 2026","Fri Mar 06 03:47:10 UTC 2026","320","","com.insiderone.qa.tests.pet.PetTechAndPerformanceTest","","com.insiderone.qa.tests.pet.PetTechAndPerformanceTest","getPet_CheckRequiredHeadersInResponse","getPet_CheckRequiredHeadersInResponse()",""
"passed","Fri Mar 06 03:47:04 UTC 2026","Fri Mar 06 03:47:04 UTC 2026","217","","com.insiderone.qa.tests.pet.PetSecurityTest","","com.insiderone.qa.tests.pet.PetSecurityTest","createPet_SqlInjectionPayloadInName_ShouldNotBreakDatabase","createPet_SqlInjectionPayloadInName_ShouldNotBreakDatabase(String) [2] DROP TABLE pets;--",""
"passed","Fri Mar 06 03:47:11 UTC 2026","Fri Mar 06 03:47:11 UTC 2026","104","","com.insiderone.qa.tests.pet.CreatePetTest","","com.insiderone.qa.tests.pet.CreatePetTest","createPetWithEmptyBody_returns405OrBadRequest","createPetWithEmptyBody_returns405OrBadRequest()",""
